No.	ID	Banco	Producto	Concepto	Tipo de comisión (usual (U) o eventual E)	Tasa 30 días	Tasa 60 días	Tasa 90 días	Min	Max	ME-Tasa Max.	ME-Tasa Min.	ME-Min	ME-Max	Observaciones	Web Banco	Web Tarifario	Contacto
150	BanBif	Banco Interamericano de Finanzas	1.3 Cobranza Documentaria de Exportación	l. Emisión de Giros (por adelantado)	E	0.00125			60	300					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
151	BanBif	Banco Interamericano de Finanzas	1.3 Cobranza Documentaria de Exportación	m. Cobranza Directa (Por adelantado)	E	0.005			60	600					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
152	BanBif	Banco Interamericano de Finanzas	1.3 Cobranza Documentaria de Exportación	n. Cobranza de Registro	E					70					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
153	BanBif	Banco Interamericano de Finanzas	1.3 Cobranza Documentaria de Exportación	ñ. Remesa Complementaria	E					35					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
154	BanBif	Banco Interamericano de Finanzas	1.3 Cobranza Documentaria de Exportación	o. Mantenimiento de cartera de cobranza vencida (Mensual)	E					30					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
155	BanBif	Banco Interamericano de Finanzas	1.3 Cobranza Documentaria de Exportación	p. Swift	E					30					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
156	BanBif	Banco Interamericano de Finanzas	1.3 Cobranza Documentaria de Exportación	q. Portes	E					12					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
157	BanBif	Banco Interamericano de Finanzas	1.3 Cobranza Documentaria de Exportación	r. Courier	E					75.33					Trámite directo $ 12 + Courier (USA $ 60 / América - Europa $ 60 / Asia - Oceanía - África $ 70	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
158	Santander	Banco Santander	1.3 Cobranza Documentaria de Exportación	a. Comisión cobranza	U	0.00125			50						-	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
159	Santander	Banco Santander	1.3 Cobranza Documentaria de Exportación	b. Comisión cobranza impagas	E	0.00125			50						-	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
160	Santander	Banco Santander	1.3 Cobranza Documentaria de Exportación	c. Comisión Cheque Adicional (por cada uno)	E				5						-	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
161	Santander	Banco Santander	1.3 Cobranza Documentaria de Exportación	d. Comisión por mantenimiento	E	0.000625			10						-	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
162	Santander	Banco Santander	1.3 Cobranza Documentaria de Exportación	e. Comisión por aceptación	E				0						No indica Tarifa	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
163	Santander	Banco Santander	1.3 Cobranza Documentaria de Exportación	f. Comisión por modificación	E				30						-	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
164	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	a.1 Gestión	U	0.002			60	2000					No existe ya ninguna separación en cuanto al importe (no incluye costo de courier)	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
165	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	a.2 Gestión - Portes	U					12					$7 portes + envío de documentos al exterior	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
166	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	b. Modificación	U					70					$35 + Mensaje Swift: $22 +Portes Internacional: $7	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
167	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	c. Por Abonos del Exterior	U					41					Se cobra a la recepción del pago del exterior $30 + portes $11	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
168	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	d. Emisión de Tracers	E					23					Se cobra por la emisión automática de mensaje SWIFT al exterior solicitando información del status de los documentos. Se cobra $12 + portes $11.	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
169	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	e. Mantenimiento	E	0.000625			5						Por cada período de 180 días y/o fracción. En caso de Cobranza Vista, se cobra si el pago se produce después de los 60 días de ingreso de la Cobranza. En caso Cobranza a Plazo, se cobra si el pago se produce después de 30 días del vencimiento del plazo original previsto por el exportador.	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
170	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	f. Emisión de Cartas Compromiso	E					73					Se cobra Comisión Mensaje Swift en caso el Beneficiario sea un Banco Local. $40 + Mensaje Swift $22 + Portes $11	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
171	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	g. Amortización o Pago a Cuenta	E					63					$ 30 + Mensaje Swift $ 22 + Portes $ 11	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
172	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	h. Trámite BCR (sólo convenio ALADI)	E					12					Se cobra al registro de una Cobranza con reembolso ALADI.	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
173	BBVA	BBVA Banco Continental	1.3 Cobranza Documentaria de Exportación	i. Pago BCR ALADI (sólo Convenio ALADI)	E	0.0002									Cobro del BCR por Reembolso de las Cobranzas Documentarias por Convenio ALADI.	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
180	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	a. Comisión de gestión de Courier	U				48						$ 35,40 a USA y Latam / $ 47,20 Europa / $ 60,18 Asia y Oceanía. Al ingreso	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
181	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	b Comisión de gestión de cobranza	U	0.0025			60						Al ingreso	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
182	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	b.1 Comisión de gestión de Swift	U					25					Al ingreso	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
183	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	b.2 Comisión por gestión de portes	U					10					Al ingreso	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
184	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	c. Comisión por enmienda	E					35					A la recepción de la enmienda.	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
185	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	c.1 Comisión de gestión de Swift	E					25					A la recepción de la enmienda.	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
186	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	c.2 Comisión por gestión de portes	E					10					A la recepción de la enmienda.	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
187	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	d Comisión de amortización	E	0.0025			60	1500					A la amortización	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
188	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	d.1 Comisión de gestión de Swift	E					25					A la amortización	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
193	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	d.2 Comisión por gestión de portes	E					10					A la amortización	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
194	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	e. Comisión de emisión de cheque o giro	E					30					A la cancelación.	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
195	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	f. Comisión por devolución o descargo	E					35					Al descargo	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
196	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	f.1 Comisión de gestión de Swift	E					25					Al descargo	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
197	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	f.2 Comisión por gestión de portes	E					10					Al descargo	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
198	Interbank	Interbank	1.3 Cobranza Documentaria de Exportación	g. Comisión emisión de carta compromiso	E					35					Al momento de la transacción.	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
199	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	a. Por gestión de cobranza	U	0.001875			35						Flat - Aplica sobre el valor de los documentos - Min US$ 35.00 eq. (S/. 94.50 )  + Portes US$ 11.00 eq. (S/. 29.70 ) + Swift US$ 22.00 eq. (S/. 59.40 ) + Por Gestión de Courier - Se cobrará si se eligiera enviar por correo certificado	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
200	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	b. Por pago	U										Adicionalmente se cobrará Portes US$ 11.00 eq. (S/. 29.70 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
201	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	c. Por emisión de mensajes por seguimiento	E				22						US$ 22.00 eq. (S/. 59.40 ) - Adicionalmente se cobrará Portes US$ 11.00 eq. (S/. 29.70 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
202	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	d. Por Modificación	E				35						US$ 35.00 eq. (S/. 94.50 ) - Adicionalmente se cobrará + Portes US$ 11.00 eq. (S/. 29.70 ) + Swift US$ 22.00 eq. (S/. 59.40 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
203	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	e. Por Amortización	E	0.001875			35						Flat por operación. El porcentaje se aplica sobre el monto de la cancelación o amortización. Min. US$ 35.00 eq. (S/. 94.50 ) - Adicionalmente se cobrará + Portes US$ 11.00 eq. (S/. 29.70 ) + Swift US$ 22.00 eq. (S/. 59.40 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
204	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	f. Por Devolución y/o Descargo	E	0.001875			35						Flat - El porcentaje se aplica sobre el valor de la Cobranza. Min. US$ 35.00 eq. (S/. 94.50 ) - Adicionalmente se cobrará + Portes US$ 11.00 eq. (S/. 29.70 ) + Swift US$ 22.00 eq. (S/. 59.40 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
205	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	g. Por emisión de Carta Compromiso / Cesión de Fondos	E				35						US$ 35.00 eq. (S/. 94.50 ) - Adicionalmente se cobrará Swift US$ 22.00 eq. (S/. 59.40 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
206	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	h. Por transferencia de fondos ó emisión de giros ó de cheques	E										Por trámite.  Aplica sobre el monto a emitir. Adicionalmente se cobrará + Portes US$ 11.00 eq. (S/. 29.70 ) + Swift US$ 22.00 eq. (S/. 59.40 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
207	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	i. Por Cobranza Directa	E				35						Flat - Enviada con Carta remesa al Comprador. US$ 35.00 eq. (S/. 94.50 )- Adicionalmente se cobrará Comisión por Gestión de Courier, si aplica	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
208	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	j. Por compromiso de pago recibido	E				35						Flat - Emitido por bancos locales. US$ 35.00 eq. (S/. 94.50 )- Adicionalmente se cobrará Comisión por Gestión de Courier, si aplica	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
209	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	k. Por Cobranza de Registro	E	0.001875			35						Flat -  US$ 35.00 eq. (S/. 94.50 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
210	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	l. Por Remesa Complementaria	E				11						Por documentos adicionales enviados por instrucciones del exportador -  US$ 11.00 eq. (S/. 29.70). Adicionalmente se cobrará + Portes US$ 11.00 eq. (S/. 29.70 ) + Swift US$ 22.00 eq. (S/. 59.40 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
211	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	m. Por gestión ante el BCRP	E				10						US$ 10.00 eq. (S/. 27.00 ). Por trámite, al reembolso o pago. Trámite documentario ante BCRP	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
212	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	o. Por Gestión de Swift	U				22						Preparación y envío de mensajes cifrados - US$ 22.00 eq. (S/. 59.40 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
213	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	p. Por Gestión de Portes	U				11						Generación y envío de información - US$ 11.00 eq. (S/. 29.70 )	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
214	Scotiabank	Scotiabank	1.3 Cobranza Documentaria de Exportación	q. Por Courier, si aplica	U										Se cobrará si se eligiera enviar por correo certificado	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/comercio-exterior/077.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
215	Bancomercio	Banco de Comercio	1.4 Carta de Crédito de Exportación	a.1. Comisión por Aviso	U				50						Por operación mas (Portes $ 0.75 + Swift $ 20 + Fax $ 20 + Fotocopia S/0.50 por hoja)	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
216	Bancomercio	Banco de Comercio	1.4 Carta de Crédito de Exportación	g.2. Cobro Portes, Swift, Fax, Fotocopia	E				40.75						Por documento se cobra swift $20 + portes $0.75 + fax $20 (+ Fotocopia S/0.50 por hoja en caso corresponda)	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
